Batch,File,Line,Pattern,Original,Replaced,Verified
16b,Runtime\Script\Statements\Function\Creator.Method.cs,40,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,63,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,166,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,167,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,194,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,269,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,323,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,354,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,384,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,432,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,607,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,656,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,819,typeof(string),			ReturnType = typeof(string);,			ReturnType = EraType.String;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,820,typeof(long); typeof(string),"			argumentTypeArray = [typeof(string), typeof(long)];","			argumentTypeArray = [EraType.String, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,839,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,840,typeof(long); typeof(string),"			argumentTypeArray = [typeof(string), typeof(long)];","			argumentTypeArray = [EraType.String, EraType.Integer];",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,862,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,932,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
